id;title;create_at;student_id
74;Секреты эффективного управления своими отношениями: как строить здоровые и гармоничные отношения;12.01.2017;31
75;Как научиться создавать собственный магазин за неделю;01.07.2021;47
76;Секреты эффективного управления своими фобиями: как преодолеть страхи и боязни;08.10.2021;2
77;Как стать профессиональным переводчиком за месяц;11.02.2017;68
78;Секреты эффективного управления своими мыслями: как развивать креативное мышление и воображение;06.11.2018;99
79;Как научиться создавать собственный канал на YouTube за неделю;08.06.2021;91
80;Секреты эффективного управления своими эмоциями: как контролировать свой гнев и раздражение;10.03.2017;19
81;Как стать профессиональным графическим дизайнером за месяц;09.02.2019;12
82;Секреты эффективного управления своим временем: как планировать свой день и достигать целей;05.08.2022;41
83;Как научиться создавать собственный сайт-портфолио за неделю;06.03.2017;61
84;Секреты эффективного управления своей энергией: как сохранять силы и не уставать;06.08.2019;48
85;Как стать профессиональным психологом за месяц;12.09.2022;98
86;Секреты эффективного управления своим здоровьем: как поддерживать свой организм в тонусе;07.01.2022;46
87;Как научиться создавать собственный онлайн-курс за неделю;06.05.2017;33
88;Секреты эффективного управления своими мыслями: как избавиться от негативных мыслей и эмоций;02.02.2021;72
89;Как стать профессиональным архитектором за месяц;04.01.2022;100
90;Секреты эффективного управления своими отношениями: как строить здоровые и гармоничные отношения;05.02.2018;43
91;Секреты эффективного управления своими отношениями: как строить здоровые и гармоничные отношения;06.04.2017;46
92;Как стать профессиональным фрилансером за месяц;04.11.2018;87
93;Секреты эффективного управления своими мыслями: как избавиться от негативных мыслей и эмоций;04.05.2017;19
94;Как научиться создавать собственные приложения для социальных сетей за неделю;06.07.2017;9
95;Секреты эффективного управления своими фобиями: как преодолеть страхи и боязни;04.06.2021;91
96;Как стать профессиональным блогером за месяц;02.01.2017;2
97;Секреты эффективного управления своими мыслями: как развивать креативное мышление и воображение;02.09.2021;43
98;Как научиться создавать собственные программы для компьютеров за неделю;03.07.2021;63
99;Секреты эффективного управления своими эмоциями: как контролировать свой гнев и раздражение;08.04.2021;45
100;Как стать профессиональным писателем за месяц;01.03.2019;29
